"Sygnatura czasowa","Płeć","Wiek","Wykształcenie","W jakiej branży pracujesz?","Jakie stanowisko zajmujesz?","Gdzie mieszkasz?","Czy mieszkasz w Polsce, czy za granicą?","Jak korzystasz z „Więzi”? ","Czy jesteś Prenumeratorką/Prenumeratorem „Więzi”?","Co by Cię zachęciło do prenumeraty? ","Z jakiego rodzaju prenumeraty korzystasz?","Jeśli prenumerujesz „Więź”, szczególnie wspierasz naszą działalność. Co Cię do tego skłania?","Od jak dawna sięgasz po kwartalnik „Więź”?","Jak często odwiedzasz Więź.pl?","Należysz do grona Patronów i Darczyńców „Więzi”? Jeśli tak, napisz w kilku słowach, dlaczego wspierasz naszą działalność.","Skąd dowiedziałaś/dowiedziałeś się o „Więzi” – piśmie lub portalu?","Sięgasz po nasz kwartalnik lub czytasz nasz portal, bo „Więź”… (wybierz 1-3 odpowiedzi)","Co najchętniej czytasz w kwartalniku „Więź” (wybierz 1-3 odpowiedzi)?","Czego nie czytasz w kwartalniku „Więź” (wybierz 1-3 odpowiedzi)?","Czy czytasz treści dostępne tylko na Więź.pl (niepochodzące z kwartalnika)?","Dlaczego? ","Jaką kategorię treści najczęściej czytasz na Więź.pl?","Które z tematów obecnych na Więź.pl są dla Ciebie samej/samego najważniejsze (wybierz 1-5 odpowiedzi)?","Jakiego rodzaju tekstów (gatunki dziennikarskie) chcesz czytać więcej na Więź.pl (wybierz 1-3 odpowiedzi)? ","Na jakie tematy według Ciebie piszemy na Więź.pl za mało (wybierz 1-3 odpowiedzi)?","Jakich treści brakuje Ci na Więź.pl? ","W których mediach społecznościowych obserwujesz „Więź”?","Na których platformach Twoim zdaniem brakuje „Więzi""?","Zaznacz w skali od 1 do 10, gdzie 0 oznacza decydowanie nie, a 10 zdecydowanie tak.","Czy słuchasz regularnie podcastów?","Jakich podcastów słuchasz regularnie?","Czy subskrybujesz kanały na YouTube?","Jeśli tak, jakie to kanały?","Jakie są Twoje ulubione profile, które obserwujesz na Facebooku?","Jeśli masz jakieś sugestie lub uwagi, to prosimy podziel się nimi tutaj."
"2022/01/12 10:03:03 PM CET","Kobieta","51-65","Wyższe","Edukacja","Właściciel/ka","Miasto powyżej 500 tys.","W Polsce","Czytam cyfrowe wydanie kwartalnika na Więź.pl (mam wykupiony dostęp)","Tak","","Rocznej prenumeraty cyfrowej","Jakość artykułów","Od 10-30 lat","Kilka razy w miesiącu","","Od bliskich/przyjaciół","Jest wiarygodna i rzetelna","Społeczny temat numeru;Kulturalny temat numeru;Dział „Czytanie świata”;Felieton Jakuba Wygnańskiego;Dyskusje redakcyjne;Recenzje książek;Felieton Jerzego Sosnowskiego;Edytorial;Recenzje filmowe","Religijny temat numeru;Dział „Z drugiej strony Bugu”","Nie","","Społeczeństwo","Antysemityzm;Biskupi;Demokracja;Dialog;Film;Historia;Kryzys Kościoła;Kultura;Książka;LGBT;Literatura;Migracje, uchodźcy;Papież Franciszek;Pandemia COVID-19;Pedofilia w Kościele;Poezja;Polityka;Sztuka;Unia Europejska;Żydzi","Publicystyka społeczno-polityczna;Publicystyka kulturalna;Publicystyka zagraniczna;Felieton;Reportaż;Wywiad","Edukacja;Gospodarka;Technologie","Jest ok","Facebook;Twitter","","7","Tak","Codziennie ","Tak","Wiele","Wiele",""
"2022/01/12 10:15:05 PM CET","Mężczyzna","26-35","Wyższe","Jeszcze się uczę/studiuję","Praktykant/ka/stażysta/ka","Miasto od 150 tys. do 500 tys.","W Polsce","Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu;Czytam tylko artykuły dostępne na Więź.pl bez wykupionego dostępu","Nie","","","","","","","Z mediów społecznościowych (Facebook, Twitter, Instagram)","Jest wiarygodna i rzetelna;Opisuje świat z perspektywy chrześcijańskiej;Publikuje pogłębione i przystępne teksty;Pomaga mi wytrwać w Kościele","Społeczny temat numeru;Religijny temat numeru","Czytam od deski do deski","Tak","","Wiara","Demokracja;Ewangelia;Kryzys Kościoła;LGBT;Migracje, uchodźcy","Publicystyka religijna;Publicystyka społeczno-polityczna;Wiadomości z Kościoła","Duchowość;Teologia","","Facebook;Twitter;Instagram","","9","Nie","","Nie","","",""
"2022/01/12 10:33:19 PM CET","Mężczyzna","26-35","Wyższe","Duchowny","Praktykant/ka/stażysta/ka","Miasto powyżej 500 tys.","W Polsce","Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu","Nie","Ta ankieta uświadomiła mi ze warto o tym pomyśleć ","","","","","","Nie pamietam ","Jest wiarygodna i rzetelna;Opisuje świat z perspektywy chrześcijańskiej;Publikuje pogłębione i przystępne teksty","Religijny temat numeru","Czytam od deski do deski","Tak","","Wiadomości","Biskupi;Ewangelia;Kryzys Kościoła;Migracje, uchodźcy;Wiara","Wiadomości z Kościoła","Polityka;Technologie","","Na żadnym z wymienionych","","7","Nie","","Nie","","",""
"2022/01/12 10:37:30 PM CET","Mężczyzna","36-50","Wyższe","Edukacja","Starszy/a specjalista/ka","Miasto powyżej 500 tys.","W Polsce","Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu;Czytam tylko artykuły dostępne na Więź.pl bez wykupionego dostępu","Nie","","","","","","","Z mediów społecznościowych (Facebook, Twitter, Instagram)","Opisuje świat z perspektywy chrześcijańskiej;Publikuje pogłębione i przystępne teksty;Szuka prawdy","Nie czytam kwartalnika ","Nie czytam kwartalnika","Tak","Nie miałbym chyba czasu czytać jeszcze kwartalnika – chyba wolałbym go czytać wybiórczo online","Wiara","Aborcja;Ewangelia;Kryzys Kościoła;Pedofilia w Kościele;Wiara","Publicystka historyczna;Publicystyka religijna;Publicystyka kulturalna;Wiadomości z Kościoła;Wiadomości z kraju;Wiadomości ze świata;Reportaż","Wiara","","Na żadnym z wymienionych","","8","Nie","","Nie","","","Czytam regularnie także konserwatywne portale katolickie, ale amerykańskie  "
"2022/01/12 10:39:13 PM CET","Mężczyzna","51-65","Wyższe","nauka","Dyrektor/ka","Miasto do 50 tys.","W Polsce","Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu","Nie","jeszcze większe otwarcie ","","","","","","Od bliskich/przyjaciół","Jest wiarygodna i rzetelna;Publikuje pogłębione i przystępne teksty;Jest tytułem, z którym jestem związana/związany od lat","Społeczny temat numeru;Kulturalny temat numeru;Dział Historia","Religijny temat numeru;Dział „Z drugiej strony Bugu”;Felieton „Ksiądz z kobietą w kinie”","Tak","łatwy dostęp","Społeczeństwo","Historia;Poezja;Sztuka","","Gospodarka;Inne religie;Sport","samokrytycznych","Facebook","na żadnych","7","Nie","","Nie","","","więcej humoru i autoironii"
"2022/01/12 10:47:33 PM CET","Kobieta","26-35","Wyższe","medycyna ","Młodszy/a specjalista/ka","Miasto powyżej 500 tys.","W Polsce","Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu","Nie","Większa częstotliwość pojawiania się artykułów","","","","","","Z mediów społecznościowych (Facebook, Twitter, Instagram)","Jest wiarygodna i rzetelna;Publikuje pogłębione i przystępne teksty;Pomaga mi wytrwać w Kościele","Tylko portal","Tylko portal","Tak","Bardzo rzadko kupuję prasę - dużo czytam elektrolinicznie ","Wiara","Biskupi;Ewangelia;Kryzys Kościoła;Pedofilia w Kościele;Wiara","Publicystyka religijna;Reportaż;Wywiad","Duchowość;Etyka;Inne religie","","Facebook","","9","Nie","Piotrek Żyłka- dość często, ale nie regularnie","Nie","","Deon, Isakowicz- Zaleski, Tygodnik Powszechny",""
"2022/01/12 10:55:30 PM CET","Mężczyzna","51-65","Wyższe","Szkolnictwo wyższe","Menadżer/ka/kierownik/czka","Miasto powyżej 500 tys.","W Polsce","Czytam kwartalnik w wersji na czytniki (plik PDF, epub lub mobi)","Tak i wspieram „Więź” poprzez Patronite","","Rocznej sponsorskiej prenumeraty cyfrowej","Pewność otrzymywania numeru.","Od 5-10 lat","Kilka razy w tygodniu","Dobre czadopismo nie może zniknąć z rynky przez kłopoty wydawnicze. ","Kupiłem w księgarni.","Opisuje świat z perspektywy chrześcijańskiej;Publikuje pogłębione i przystępne teksty","Dział „Otwarta ortodoksja”;Dział „Dziedziniec dialogu”;Felieton Jerzego Sosnowskiego","Edytorial","Nie","","Wiara","Kryzys Kościoła;Kultura;Książka;Wiara","Publicystyka religijna;Publicystyka kulturalna","Filozofia;Inne religie","","Facebook","","10","Nie","","Nie","","",""
"2022/01/12 11:00:15 PM CET","Kobieta","51-65","Wyższe","Kultura i sztuka","Menadżer/ka/kierownik/czka","Miasto powyżej 500 tys.","W Polsce","Czytam cyfrowe wydanie kwartalnika na Więź.pl (mam wykupiony dostęp)","Tak","dobre teksty","Rocznej prenumeraty cyfrowej","stały kontakt z redakcją, której postawę i styl szanuję","Od 2-3 lat","Kilka razy w miesiącu","","Od bliskich/przyjaciół","Jest wiarygodna i rzetelna;Publikuje pogłębione i przystępne teksty;Pomaga mi wytrwać w Kościele","Społeczny temat numeru;Kulturalny temat numeru;Dyskusje redakcyjne","Felieton Jakuba Wygnańskiego;Recenzje książek;Felieton Jerzego Sosnowskiego","Tak","bo są ciekawe","Kultura","Dialog;Ewangelia;Kryzys Kościoła;Pedofilia w Kościele;Wiara","Publicystyka religijna;Publicystyka kulturalna;Wywiad","Duchowość;Inne religie;Sztuka","dotyczących sztuk wizualnych","Facebook","chyba żadnych","10","Nie","","Tak","religijne, kulturalne","więź, spiżarnia kuchni zwycięzców, literatura na świecie","trwajcie!"
"2022/01/12 11:05:54 PM CET","Mężczyzna","36-50","Wyższe","Media","Menadżer/ka/kierownik/czka","Miasto powyżej 500 tys.","W Polsce","Czytam papierowe wydanie kwartalnika;Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu","Tak","","Rocznej prenumeraty druk + cyfra","Niezależne dziennikarstwo na najwyższym poziomie. Odwołanie się do duchowości i wartości Ewangelicznych. ","Od 3-5 lat","Kilka razy w miesiącu","","Od bliskich/przyjaciół","Jest wiarygodna i rzetelna;Opisuje świat z perspektywy chrześcijańskiej;Publikuje pogłębione i przystępne teksty","Społeczny temat numeru;Religijny temat numeru","Dział Historia;Felieton Michała Zioły;Recenzje książek","Tak","Portal traktuje jako niezależne od kwartalnika medium, które reaguje na wydarzenia bierząco. ","Wiadomości","Dialog;Kryzys Kościoła;Migracje, uchodźcy;Papież Franciszek;Polityka","Publicystyka religijna;Publicystyka społeczno-polityczna;Publicystyka kulturalna;Publicystyka zagraniczna;Wiadomości kulturalne;Wiadomości z Kościoła;Wiadomości z kraju;Wiadomości ze świata;Reportaż;Wywiad","Duchowość;Inne religie;Polityka","Codziennych wiadomości. ","Facebook;YouTube;Spotify","Spotify, YouTube","10","Tak","Raport o stanie świata, Joe Rogan Experience","Tak","Setki kanałów! Kanały informacyjne, specjalistyczne/hobbystyczne, technologiczne itd.","Więź, Szymon Holownia","Rozwijajcie koniecznie portal więź.pl i kanał podcastowy, a może w przyszłości kanały video. Czytany w odcinkach reportaż Zbigniewa Nosowskiego był dla mnie najważniejszym wydarzeniem medialnym minionego roku. Koniecznie musicie iść w tę stronę. Może nawet udostępniającej więź w formie audiobooka do słuchania. Chętnie będę sponsorował te lub inne medialne inicjatywy na Pateonite.pl"
"2022/01/12 11:05:55 PM CET","Mężczyzna","36-50","Wyższe","Kultura i sztuka","Właściciel/ka","Miasto do 50 tys.","W Polsce","Czytam kwartalnik w wersji na czytniki (plik PDF, epub lub mobi);Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu","Nie, ale wspieram „Więź” poprzez Patronite","Nie wiem","","","","","Bo według mnie Wasza publicystyka oddaje ducha Ewangelii","Z mediów społecznościowych (Facebook, Twitter, Instagram)","Jest wiarygodna i rzetelna;Opisuje świat z perspektywy chrześcijańskiej;Publikuje pogłębione i przystępne teksty","Społeczny temat numeru;Religijny temat numeru;Kulturalny temat numeru","Recenzje książek","Nie","Bo w kwartalniku też bywa ciekawie","Wiara","Demokracja;Ewangelia;Kryzys Kościoła;Pedofilia w Kościele;Wiara","Reportaż","Sport","Generalnie nie brakuje","Facebook","Nie wiem","10","Nie","","Nie","","","Wiem, Wy też musicie się zmieniać, ale postarajcie się pozostać sobą."
"2022/01/12 11:10:35 PM CET","Mężczyzna","26-35","Wyższe","Media","Specjalista/ka","Miasto powyżej 500 tys.","W Polsce","Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu","Nie","-","","","","","","Z mediów społecznościowych (Facebook, Twitter, Instagram)","Jest wiarygodna i rzetelna;Publikuje pogłębione i przystępne teksty;Pomaga mi wytrwać w Kościele","Czytam jedynie teksty na stronie internetowej","Czytam jedynie teksty na stronie internetowej","Tak","Coraz rzadziej korzystam z prasy w tradycyjnej formie","Wiadomości","Aborcja;Biskupi;Kryzys Kościoła;LGBT;Pedofilia w Kościele","Publicystyka religijna;Wiadomości z Kościoła;Wywiad","Filozofia;Inne religie;Teologia","-","Facebook;Twitter","-","7","Nie","-","Tak","Kanały dot. literatury i sportu","-","-"
"2022/01/12 11:10:39 PM CET","Kobieta","36-50","Wyższe","Finanse","Menadżer/ka/kierownik/czka","Miasto powyżej 500 tys.","W Polsce","Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu","Nie","","","","","","","Z mediów społecznościowych (Facebook, Twitter, Instagram)","Jest wiarygodna i rzetelna;Opisuje świat z perspektywy chrześcijańskiej;Publikuje pogłębione i przystępne teksty;Pomaga mi wytrwać w Kościele","Społeczny temat numeru;Religijny temat numeru;Kulturalny temat numeru","Dział „Czytanie świata”;Dział „Z drugiej strony Bugu”;Felieton „Ksiądz z kobietą w kinie”","Tak","","Społeczeństwo","Antysemityzm;Migracje, uchodźcy;Papież Franciszek;Wiara;Żydzi","Felieton;Reportaż","Edukacja;Inne religie","","Facebook","","10","Tak","Raport o stanie świata, Brzmienie świata z lotu Drozda, Na rubieżach","Nie","","",""
"2022/01/12 11:25:38 PM CET","Mężczyzna","36-50","Wyższe","Psychoterapia","Właściciel/ka","Miasto powyżej 500 tys.","W Polsce","Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu;Czytam tylko artykuły dostępne na Więź.pl bez wykupionego dostępu","Nie","Niska cena","","","","","","Z mediów społecznościowych (Facebook, Twitter, Instagram)","Jest wiarygodna i rzetelna;Opisuje świat z perspektywy chrześcijańskiej;Pomaga mi wytrwać w Kościele","Społeczny temat numeru;Religijny temat numeru;Felieton Michała Zioły","Felieton Jakuba Wygnańskiego;W galerii „Więzi”","Tak","","Wiara","Biskupi;Ewangelia;Kryzys Kościoła;Pedofilia w Kościele","Publicystyka religijna;Publicystyka społeczno-polityczna;Wiadomości z Kościoła","Duchowość;Edukacja;Zdrowie psychiczne","","Facebook","","8","Nie","","Tak","","",""
"2022/01/12 11:40:37 PM CET","Mężczyzna","36-50","Wyższe","Edukacja","Starszy/a specjalista/ka","Miasto powyżej 500 tys.","W Polsce","Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu;Czytam tylko artykuły dostępne na Więź.pl bez wykupionego dostępu","Nie","","","","","","","Z mediów społecznościowych (Facebook, Twitter, Instagram)","Jest tytułem, z którym jestem związana/związany od lat","Religijny temat numeru;Dział „Otwarta ortodoksja”;Dział „Dziedziniec dialogu”","Dział Historia;Felieton Jakuba Wygnańskiego;Felieton Michała Zioły;Felieton „Ksiądz z kobietą w kinie”;Felieton Jerzego Sosnowskiego","Tak","przeglądam tytuły, jak coś ciekawego jest to czytam","Wiara","Dialog;Ewangelia;Papież Franciszek;Unia Europejska;Wiara","Publicystyka religijna;Publicystyka społeczno-polityczna;Publicystyka kulturalna;Publicystyka zagraniczna;Wiadomości z Kościoła","Edukacja;Etyka;Filozofia;Teologia","","Facebook","","2","Nie","","Tak","wiele ponad 100","mało bo to dla dinozaurów","Więź stała się przeglądem skandali pedofilskich, dlatego przestaję ją śledzić"
"2022/01/12 11:42:43 PM CET","Kobieta","36-50","Wyższe","Medycyna i nauka ","Menadżer/ka/kierownik/czka","Miasto powyżej 500 tys.","W Polsce","Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu","Nie","","","","","","","Z mediów społecznościowych (Facebook, Twitter, Instagram)","Opisuje świat z perspektywy chrześcijańskiej;Publikuje pogłębione i przystępne teksty","Społeczny temat numeru;Dyskusje redakcyjne;Felieton Jerzego Sosnowskiego","Czytam tylko dostępne artykuły ","Tak","Tak mi wygodniej ","Społeczeństwo","Kryzys Kościoła;Papież Franciszek;Pandemia COVID-19;Poezja;Wiara","Publicystyka społeczno-polityczna;Publicystyka kulturalna;Wiadomości kulturalne;Wywiad","","Nauka ","Facebook","","9","Nie","","Nie","","Grzegorz Kramer, dom chłopaków w Broniszewicach, ",""
"2022/01/13 8:04:03 AM CET","Mężczyzna","36-50","Wyższe","Ksiądz ","Starszy/a specjalista/ka","Miasto do 50 tys.","W Polsce","Czytam papierowe wydanie kwartalnika","Nie","","","","","","","Zaciekawiła mnie okładka/treść w punkcie sprzedaży","Jest tytułem, z którym jestem związana/związany od lat","Religijny temat numeru;Kulturalny temat numeru","W galerii „Więzi”","Tak","","Wiara","Dialog","Publicystyka społeczno-polityczna","Filozofia","","Facebook","","10","Nie","","Nie","","",""
"2022/01/13 8:47:48 AM CET","Kobieta","36-50","Wyższe","Edukacja","Starszy/a specjalista/ka","Miasto do 50 tys.","W Polsce","Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu","Nie, ale wspieram „Więź” poprzez darowizny","","","","","","Bo jesteście potrzebni i opiniotwórczy","Pracowałam z dzieckiem jedego z twórców ","Jest wiarygodna i rzetelna;Opisuje świat z perspektywy chrześcijańskiej;Publikuje pogłębione i przystępne teksty;To „moje pismo” / „mój portal”;Jest tytułem, z którym jestem związana/związany od lat;Pomaga mi wytrwać w Kościele","Społeczny temat numeru;Religijny temat numeru;Dział „Dzieci Abrahama”;Dział „Dziedziniec dialogu”;Dyskusje redakcyjne","W galerii „Więzi”","Nie","Czytam wersję elektroniczną ","Wiara","Biskupi;Demokracja;Ewangelia;Kryzys Kościoła;Pedofilia w Kościele","Publicystyka religijna;Publicystyka społeczno-polityczna;Wiadomości z Kościoła;Wiadomości z kraju;Wiadomości ze świata;Reportaż","Społeczeństwo","","Facebook","","10","Nie","","Nie","","",""
"2022/01/13 9:01:38 AM CET","Mężczyzna","51-65","Wyższe","Polityka","Starszy/a specjalista/ka","Miasto powyżej 500 tys.","W Polsce","Czytam papierowe wydanie kwartalnika;Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu","Nie, ale regularnie kupuje „Więź”","nic","","","","","","Od bliskich/przyjaciół","Jest tytułem, z którym jestem związana/związany od lat","Społeczny temat numeru;Religijny temat numeru;Kulturalny temat numeru","Felieton Michała Zioły;Felieton „Ksiądz z kobietą w kinie”;Felieton Jerzego Sosnowskiego","Tak","","Społeczeństwo","Demokracja;Historia;Kryzys Kościoła","Publicystka historyczna;Publicystyka religijna;Publicystyka społeczno-polityczna","","","Facebook","","2","Tak","polityczno-historycznych","Nie","","",""
"2022/01/13 9:34:34 AM CET","Mężczyzna","36-50","Wyższe","Edukacja","Specjalista/ka","Miasto od 50 tys. do 150 tys.","W Polsce","Czytam papierowe wydanie kwartalnika","Tak","","Rocznej prenumeraty druk + cyfra","Rzetelność, dobór tematów, poszerzanie perspektywy","Od 3-5 lat","Kilka razy w miesiącu","","Od bliskich/przyjaciół","Jest wiarygodna i rzetelna;Publikuje pogłębione i przystępne teksty;Pomaga mi wytrwać w Kościele;pokazuje szersze spojrzenie na Kościół","Religijny temat numeru;Felieton Jakuba Wygnańskiego;Dział „Otwarta ortodoksja”","Czytam od deski do deski","Tak","","Wiara","Dialog;Ewangelia;Papież Franciszek;Pedofilia w Kościele;Wiara","Publicystyka religijna;Publicystyka społeczno-polityczna;Felieton","Edukacja;Teologia","","Facebook","","8","Nie","","Nie","","",""
"2022/01/13 9:35:59 AM CET","Kobieta","51-65","Średnie","medycyna","Specjalista/ka","Miasto do 50 tys.","W Polsce","Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu","Nie","ciekawsze artykuły","","","","","","Z mediów społecznościowych (Facebook, Twitter, Instagram)","Jest wiarygodna i rzetelna","Religijny temat numeru;Felieton „Ksiądz z kobietą w kinie”;W galerii „Więzi”","Recenzje książek;W galerii „Więzi”","Tak","bo mnie to interesuje","Wiara","Biskupi;Kryzys Kościoła;Wiara","Publicystyka religijna;Felieton;Reportaż","Duchowość;Etyka;Inne religie","","Facebook;YouTube","","10","Tak","","Tak","","",""
"2022/01/13 9:57:00 AM CET","Mężczyzna","26-35","Wyższe","ksiądz","Specjalista/ka","Miasto do 50 tys.","W Polsce","Czytam kwartalnik w wersji na czytniki (plik PDF, epub lub mobi)","Nie, ale regularnie kupuje „Więź”","","","","","","","Z mediów społecznościowych (Facebook, Twitter, Instagram)","Jest wiarygodna i rzetelna;Opisuje świat z perspektywy chrześcijańskiej;Publikuje pogłębione i przystępne teksty","Społeczny temat numeru;Religijny temat numeru;Dyskusje redakcyjne","Felieton Jakuba Wygnańskiego;Recenzje książek;W galerii „Więzi”","Tak","","Społeczeństwo","Dialog;Papież Franciszek;Wiara","Publicystyka religijna;Publicystyka społeczno-polityczna;Wiadomości z Kościoła","Duchowość;Teologia;Wiara","","Facebook","","10","Tak","Monika Jaruzelska i inne z długimi, pogłębionymi rozmowami","Tak","","",""
"2022/01/13 9:58:52 AM CET","Kobieta","51-65","Wyższe","Kultura i sztuka","Dyrektor/ka","Miasto powyżej 500 tys.","W Polsce","Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu","Nie","PODWYŻKA PENSJI","","","","","","Z mediów społecznościowych (Facebook, Twitter, Instagram)","Publikuje pogłębione i przystępne teksty","Dział „Czytanie świata”;Felieton Michała Zioły","Edytorial","Nie","Czytam atykuły, które znajomi polecają na FB","Wiara","Demokracja;Dialog;Migracje, uchodźcy;Papież Franciszek","Publicystyka religijna;Publicystyka zagraniczna;Wiadomości ze świata","trudno powiedzieć - za mało znam","j. w.","Facebook","","8","Nie","","Nie","","radio nowy świat","Nie chce mi się wracać do poprzednich odpowiedzi, ale chyba zaprenumeruję sobie Państwa pismo (w ogóle artykuły, na które trafiam na FB są ciekawe i wartościowe, a szalę przechyliły felietony o. Zioło, o których dowiedziałam się z ankiety ;-)"
"2022/01/13 10:54:08 AM CET","Mężczyzna","51-65","Wyższe","Media","Menadżer/ka/kierownik/czka","Miasto powyżej 500 tys.","W Polsce","Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu","Nie","","","","","","","Z mediów społecznościowych (Facebook, Twitter, Instagram)","Jest wiarygodna i rzetelna;Opisuje świat z perspektywy chrześcijańskiej","Społeczny temat numeru;Dział Historia;Dyskusje redakcyjne","Dział „Z drugiej strony Bugu”;Felieton Jakuba Wygnańskiego;W galerii „Więzi”","Tak","","Społeczeństwo","Demokracja;Kryzys Kościoła;Papież Franciszek","Publicystyka społeczno-polityczna;Publicystyka zagraniczna;Reportaż","Gospodarka;Polityka","","Facebook","","8","Nie","","Nie","","",""
"2022/01/13 11:21:04 AM CET","Mężczyzna","26-35","Wyższe","IT","Starszy/a specjalista/ka","Miasto od 150 tys. do 500 tys.","W Polsce","Czytam tylko artykuły dostępne na Więź.pl bez wykupionego dostępu","Nie","Raczej nic. Nie kupuję żadnej prasy","","","","","","Z mediów społecznościowych (Facebook, Twitter, Instagram)","Opisuje świat z perspektywy chrześcijańskiej;Publikuje pogłębione i przystępne teksty","Nie mam ulubionego działu","-","Tak","Bo to darmowe, łatwo dostępne i nie czuję potrzeby kupowania prasy w ogóle.","Wiadomości","Biskupi;Kryzys Kościoła;Papież Franciszek;Pedofilia w Kościele;Wiara","Publicystyka społeczno-polityczna;Wiadomości z Kościoła;Reportaż","-","","Facebook","","10","Tak","Mała wielka firma, Finanse bardzo osobiste, Niebezpiecznik, Dział Zagraniczny","Tak","","","Szukam od jakiegoś czasu podcastu zajmującego się wiarą, Kościołem. Nie medytacji, nie codzienną modlitwą, ale raczej przekazywaniem treści z różnych stron Kościoła m.in. wypowiedzi papieża Franciszka, wartościowych wypowiedzi biskupów, przemyśleń, rozmów... Reportaż o pedofilii był świetnie zrealizowany i liczyłem na to, że treści audio o różnej tematyce będzie więcej."
"2022/01/13 11:27:33 AM CET","Kobieta","36-50","Wyższe","Edukacja","Starszy/a specjalista/ka","Miasto powyżej 500 tys.","W Polsce","Czytam papierowe wydanie kwartalnika;Czytam cyfrowe wydanie kwartalnika na Więź.pl (mam wykupiony dostęp);Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu","Tak","","Rocznej prenumeraty sponsorskiej druk + cyfra","uważam, że Więź to czasopismo otwarte na zmiany współczesnego świata, starające się łączyć wiarę z postępem; ważna dla mnie jest otwarta na krytykę KK postawa redakcji, tak odmienna od postawy dominującej w polskim Kościele; liczy się także reakcja na bieżące sprawy / problemy","Od 2-3 lat","Codziennie","to wyraz mojej wdzięczności za Waszą pracę ","Z mediów społecznościowych (Facebook, Twitter, Instagram)","Jest wiarygodna i rzetelna;Opisuje świat z perspektywy chrześcijańskiej;Pomaga mi wytrwać w Kościele","wszystko","jw","Tak","kwartalnik wychodzi rzadko, a mnie interesuje zdanie Redakcji na bieżące wydarzenia w KK i społeczne","Społeczeństwo","Biskupi;Demokracja;Kryzys Kościoła;Papież Franciszek;Wiara","Publicystyka religijna;Publicystyka społeczno-polityczna;Wiadomości z Kościoła","Kościół;Społeczeństwo","za mało odniesień do bieżących problemów społecznych i działań KK","Facebook","","10","Nie","","Nie","","Tygodnik Powszechny, Znak","od kilku miesięcy zaprzestaliście linkować nowe treści: gdy wchodzi się w Wiadomości - ostatnia sprzed dwóch m-cy. Zakładkę Kościół znalazłam od dziwnej strony, bo po rozwinięciu zakładki Wiara - ostatnia informacje sprzed ...roku (???). Wyjechałam na kilka dni i nie umiałam znaleźć ostatnich artykułów. Mam wrażenie, że macie straszny bałagan na stronie, działa tylko pierwsza strona, reszta bez ładu i składu. A próbowałam z logowaniem i bez logowania (mam subskrypcję). Bardzo proszę, uporządkujcie to, bo nie ma dostępu do Waszej pracy. Pozdrawiam,"
"2022/01/13 12:31:27 PM CET","Mężczyzna","36-50","Wyższe","Administracja, księgowość i kadry","Dyrektor/ka","Miasto powyżej 500 tys.","W Polsce","Czytam tylko artykuły dostępne na Więź.pl bez wykupionego dostępu","Nie","Atrakcyjna cena","","","","","","Z mediów społecznościowych (Facebook, Twitter, Instagram)","Jest wiarygodna i rzetelna;Opisuje świat z perspektywy chrześcijańskiej;Publikuje pogłębione i przystępne teksty;Pomaga mi wytrwać w Kościele;Ma krytyczne spojrzenie na strukturę hierarchiczną kościoła","Tylko online","Tylko online","Tak","","Społeczeństwo","Antysemityzm;Kryzys Kościoła;LGBT;Papież Franciszek;Polityka","Publicystyka religijna;Publicystyka społeczno-polityczna;Reportaż","Polityka;Społeczeństwo;LGBT","","Facebook","","9","Tak","Psychologia","Tak","Muzyka, lifestyle, tutoriale","Więź, Nie, Polska w Dużych Dawkach, ",""
"2022/01/13 1:21:09 PM CET","Kobieta","36-50","Wyższe","Medycyna ","Menadżer/ka/kierownik/czka","Miasto powyżej 500 tys.","W Polsce","Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu","Nie","","","","","","","Z mediów społecznościowych (Facebook, Twitter, Instagram)","Jest wiarygodna i rzetelna;Opisuje świat z perspektywy chrześcijańskiej;Publikuje pogłębione i przystępne teksty;Pomaga mi wytrwać w Kościele","Społeczny temat numeru;Religijny temat numeru;Kulturalny temat numeru","Dyskusje redakcyjne","Tak","","Wiara","Biskupi;Dialog;Ewangelia;Kryzys Kościoła;Wiara","Publicystyka religijna;Publicystyka zagraniczna;Wiadomości z Kościoła","Duchowość;Teologia;Wiara","","Facebook","","7","Tak","","Tak","","",""
